,Original Stats,Predicted
386,1665000.0,1904833.3333333333
388,3510000.0,3514400.0
390,900000.0,1172869.3181818181
392,2752000.0,3514400.0
393,1500000.0,1665000.0
394,1800000.0,1724000.0
395,1830000.0,1665000.0
396,1415000.0,979202.8301886793
397,1440000.0,1046096.9538461538
398,1250000.0,1292200.0
400,1600000.0,1580043.4782608696
401,1860000.0,2199000.0
403,1790000.0,1685000.0
404,1950000.0,1773288.4615384615
407,1650000.0,1387666.6666666667
411,1200000.0,1321089.0
412,1075000.0,1069891.3043478262
413,1500000.0,1312750.0
415,700000.0,639414.6776859504
416,761000.0,885400.0
419,1365000.0,985714.2857142857
420,1100000.0,1422702.380952381
422,690000.0,651350.3397683398
423,1631000.0,1309019.7368421052
424,1500000.0,1767425.9259259258
426,1529500.0,1943166.6666666667
427,600000.0,651350.3397683398
430,1240000.0,1724000.0
431,700000.0,639414.6776859504
433,1110000.0,862883.3333333334
434,1305000.0,985714.2857142857
435,855000.0,885400.0
436,900500.0,917126.5258215963
437,1200000.0,1040681.8181818182
438,830000.0,649775.0
439,850000.0,717969.4968553459
440,750000.0,773139.3939393939
441,851000.0,1064916.6666666667
444,1155000.0,845259.7391304348
448,680000.0,717969.4968553459
451,627500.0,717969.4968553459
453,950000.0,1066428.5714285714
466,705000.0,717969.4968553459
467,1100000.0,1322250.0
468,892500.0,717969.4968553459
470,522500.0,651350.3397683398
471,680000.0,832279.7234042553
475,875000.0,1196233.3333333333
478,762000.0,759500.0
479,411000.0,526830.3938053098
482,805000.0,695538.4615384615
485,634000.0,973937.5
489,1819000.0,1817647.0588235294
490,410000.0,639414.6776859504
492,1015000.0,639414.6776859504
493,502500.0,526830.3938053098
494,520000.0,526830.3938053098
495,442000.0,526830.3938053098
496,1193000.0,1049492.4528301887
497,416000.0,526830.3938053098
499,474000.0,526830.3938053098
500,981000.0,1046096.9538461538
501,1690000.0,2153333.3333333335
502,540000.0,651350.3397683398
506,2100000.0,1046096.9538461538
507,1800000.0,1043030.612244898
508,1255000.0,651350.3397683398
509,1070000.0,1172869.3181818181
510,2570000.0,2744166.6666666665
511,2400000.0,1850000.0
514,806000.0,651350.3397683398
515,4000000.0,3866666.6666666665
517,2250000.0,1779352.9411764706
521,2800000.0,2744166.6666666665
524,1850000.0,1850000.0
526,700000.0,773139.3939393939
528,500000.0,526830.3938053098
529,2125000.0,888181.8181818182
530,1800000.0,1452062.5
531,635000.0,526830.3938053098
532,526000.0,526830.3938053098
534,905000.0,773139.3939393939
535,1750000.0,2013571.4285714286
536,760000.0,651350.3397683398
538,1367000.0,917126.5258215963
541,1400000.0,1286500.0
542,3270000.0,3270000.0
543,625000.0,651350.3397683398
546,2730000.0,2730000.0
548,460000.0,526830.3938053098
550,1053000.0,639414.6776859504
552,1472000.0,1172869.3181818181
555,754000.0,526830.3938053098
558,2188000.0,2188000.0
559,755000.0,651350.3397683398
561,3290000.0,3097083.3333333335
564,2410000.0,1773288.4615384615
565,650000.0,526830.3938053098
569,2000000.0,1918750.0
570,1900000.0,1773288.4615384615
571,3401000.0,3401000.0
572,1750000.0,1904833.3333333333
575,3020000.0,2744166.6666666665
577,2450000.0,1422702.380952381
579,730000.0,651350.3397683398
581,1500000.0,917126.5258215963
583,1700000.0,1961666.6666666667
585,1315000.0,1018370.0
586,1500000.0,1309019.7368421052
587,3230000.0,3429000.0
590,1905000.0,1552600.0
591,3300000.0,3514400.0
592,1900000.0,1552600.0
593,2251000.0,1946500.0
594,2205000.0,1724000.0
595,1265000.0,683070.3703703703
597,1750000.0,1251916.6666666667
598,1450000.0,979202.8301886793
599,2614000.0,2614000.0
600,1825000.0,1816666.6666666667
603,3250000.0,3514400.0
605,1150000.0,963414.0
608,1572000.0,1362125.0
611,1750000.0,1975000.0
612,1850000.0,1043030.612244898
615,2130000.0,2076428.5714285714
617,3690000.0,3745000.0
618,1740000.0,1585000.0
619,2575000.0,1779352.9411764706
620,1388800.0,1509950.0
622,1800000.0,1324166.6666666667
623,2910000.0,3082500.0
628,2200000.0,2086117.6470588236
632,1700000.0,1309019.7368421052
635,1230000.0,1385000.0
636,2600000.0,2600000.0
637,1950000.0,1494366.6666666667
638,1750000.0,1724000.0
639,2000000.0,2041666.6666666667
640,1480000.0,979202.8301886793
642,1818000.0,1485750.0
644,2525000.0,2525000.0
645,3360000.0,3360000.0
647,1903000.0,1049757.5757575757
649,1720000.0,2086117.6470588236
652,1675000.0,1362125.0
653,1680000.0,1321089.0
656,4000000.0,3514400.0
658,2205000.0,2041666.6666666667
660,2100000.0,2467600.0
662,685000.0,651350.3397683398
664,1335000.0,917126.5258215963
667,1900000.0,1324166.6666666667
670,1040000.0,651350.3397683398
672,1250000.0,1552600.0
674,1875000.0,2086117.6470588236
675,1530000.0,1251916.6666666667
676,1700000.0,1251916.6666666667
680,1651000.0,819703.947368421
681,1920000.0,2086117.6470588236
682,1560000.0,1560000.0
684,1038000.0,963414.0
685,1660000.0,2086117.6470588236
691,1770000.0,1309019.7368421052
692,691500.0,526830.3938053098
696,875000.0,800939.3939393939
700,1425000.0,979780.487804878
701,851000.0,651350.3397683398
702,1222500.0,1018370.0
708,1317500.0,1023428.5714285715
709,360000.0,526830.3938053098
710,1435000.0,1070533.3333333333
711,1110000.0,1269277.7777777778
712,2435000.0,2692500.0
713,1500000.0,1234066.6666666667
714,1300000.0,1773288.4615384615
716,1125000.0,1023428.5714285715
719,1328000.0,1773288.4615384615
720,1340000.0,1544387.0967741935
721,1155000.0,1286500.0
722,1275000.0,985714.2857142857
724,855000.0,1046096.9538461538
726,650000.0,651350.3397683398
727,1815000.0,1457500.0
728,2255000.0,2255000.0
731,855000.0,856044.4444444445
734,1860000.0,2082066.6666666667
735,725000.0,651350.3397683398
736,1293000.0,979202.8301886793
739,1328000.0,1040681.8181818182
740,1247000.0,970000.0
745,1370000.0,979202.8301886793
749,1095000.0,979780.487804878
751,725000.0,536048.8505747126
752,825000.0,917126.5258215963
753,1235000.0,917126.5258215963
755,1165000.0,979202.8301886793
757,1910000.0,1724000.0
759,820000.0,639414.6776859504
762,1430000.0,1457250.0
763,910000.0,639414.6776859504
764,2520000.0,2563333.3333333335
768,1900000.0,1703000.0
772,670000.0,782046.6666666666
773,680000.0,526830.3938053098
774,1320000.0,1321089.0
776,1900000.0,1900000.0
777,1535000.0,1262966.6666666667
778,1281000.0,1452062.5
780,1385000.0,1552600.0
784,2620000.0,2563333.3333333335
789,825000.0,782046.6666666666
790,746000.0,639414.6776859504
792,1275000.0,1251916.6666666667
797,1025000.0,1018370.0
800,495000.0,526830.3938053098
802,1220000.0,1324166.6666666667
803,885000.0,979202.8301886793
804,830000.0,917126.5258215963
808,1210000.0,1070533.3333333333
809,1160000.0,1292200.0
810,1215000.0,1040681.8181818182
811,1200000.0,948318.1818181818
812,1050000.0,1341684.2105263157
813,950000.0,1183583.3333333333
814,380000.0,782046.6666666666
818,1338000.0,1325333.3333333333
820,651000.0,651350.3397683398
822,1390000.0,979780.487804878
825,1100000.0,979202.8301886793
828,1206000.0,1773288.4615384615
829,486500.0,526830.3938053098
832,1415000.0,1457250.0
833,1185000.0,969519.2307692308
834,1060000.0,1070533.3333333333
840,845000.0,1172869.3181818181
841,860000.0,963414.0
843,921000.0,917126.5258215963
846,742500.0,651350.3397683398
847,920000.0,1341684.2105263157
850,702000.0,651350.3397683398
852,805000.0,963414.0
854,1100000.0,969519.2307692308
857,1050000.0,1049757.5757575757
860,722000.0,782046.6666666666
861,930000.0,717969.4968553459
862,921000.0,963414.0
863,1035000.0,930750.0
866,1352000.0,1183583.3333333333
867,1005000.0,969519.2307692308
869,1600000.0,2209522.727272727
870,1200000.0,1049757.5757575757
871,780000.0,1341684.2105263157
872,1250000.0,1292200.0
876,1110000.0,1324166.6666666667
878,1690000.0,1143000.0
879,791000.0,746000.0
880,900000.0,1269277.7777777778
884,970000.0,1018370.0
888,823000.0,917126.5258215963
892,1045000.0,1292200.0
895,655000.0,651350.3397683398
896,1550000.0,1580043.4782608696
897,835000.0,773139.3939393939
900,1465000.0,1292200.0
901,910000.0,979202.8301886793
902,920000.0,683070.3703703703
903,935000.0,917126.5258215963
904,977000.0,717969.4968553459
905,1352000.0,979202.8301886793
906,1115000.0,832279.7234042553
909,1197000.0,1387666.6666666667
910,485000.0,856044.4444444445
912,1365000.0,1324166.6666666667
914,1698888.0,2081296.0
918,965000.0,683070.3703703703
919,870000.0,917126.5258215963
921,1161000.0,1034750.0
922,1266000.0,819703.947368421
923,700000.0,917126.5258215963
924,1325000.0,1355000.0
925,770000.0,683070.3703703703
927,380000.0,383329.0268456376
928,1175000.0,1043030.612244898
929,1200000.0,819703.947368421
930,1370000.0,894266.6
931,1433500.0,1304954.5454545454
935,860000.0,683070.3703703703
938,715000.0,651350.3397683398
943,710000.0,526830.3938053098
945,1550000.0,1779352.9411764706
947,790000.0,773139.3939393939
949,1020000.0,717969.4968553459
956,886000.0,850636.3636363636
958,1015000.0,812342.625
961,1255000.0,1183583.3333333333
962,1320000.0,979202.8301886793
963,870000.0,885400.0
964,1472500.0,1245625.0
965,640000.0,856044.4444444445
969,1620000.0,1773288.4615384615
970,645000.0,651350.3397683398
973,1560000.0,2360848.484848485
974,1715000.0,1341684.2105263157
975,1200000.0,979202.8301886793
976,1760000.0,2087500.0
978,948000.0,800939.3939393939
981,465000.0,666440.1149425288
982,975000.0,969519.2307692308
983,1325000.0,979202.8301886793
984,750000.0,963414.0
985,1400000.0,1234066.6666666667
986,1500000.0,1385000.0
987,1600000.0,2360848.484848485
990,1461400.0,1461400.0
991,775000.0,773139.3939393939
993,1670000.0,1670000.0
995,4000000.0,4000000.0
996,928000.0,1304593.373493976
998,636000.0,651350.3397683398
1003,1170000.0,1485750.0
1004,1670000.0,1767425.9259259258
1006,857000.0,1242222.2222222222
1007,822500.0,963414.0
1011,645000.0,862883.3333333334
1012,502000.0,649775.0
1013,495000.0,683070.3703703703
1015,868000.0,1069891.3043478262
1016,645000.0,724920.0
1017,652000.0,683070.3703703703
1018,850000.0,890647.0588235294
1020,575000.0,979202.8301886793
1021,882000.0,652000.0
1022,730000.0,695538.4615384615
1026,610000.0,724920.0
1027,696000.0,717969.4968553459
1029,579000.0,850636.3636363636
1032,765000.0,819703.947368421
1033,475000.0,651350.3397683398
1034,550000.0,969519.2307692308
1036,495000.0,649775.0
1038,565000.0,773450.0
1041,1635000.0,1049492.4528301887
1043,3695000.0,2086117.6470588236
1044,536000.0,639414.6776859504
1045,3700000.0,3097083.3333333335
1047,1975000.0,1242222.2222222222
1049,1390000.0,773139.3939393939
1051,2905000.0,2564375.0
1052,1300000.0,964590.9090909091
1053,1725000.0,1172869.3181818181
1056,2100000.0,1172869.3181818181
1058,800000.0,651350.3397683398
1060,1761000.0,1767425.9259259258
1062,1302500.0,1172869.3181818181
1064,2750000.0,2491250.0
1065,892500.0,639414.6776859504
1066,2145000.0,2043250.0
1067,3171000.0,3171000.0
1072,620000.0,666440.1149425288
1074,1475000.0,1018370.0
1079,1650000.0,1172869.3181818181
1080,1562500.0,2209522.727272727
1081,2050000.0,2050000.0
1084,3320000.0,3320000.0
1088,1100000.0,769382.5757575758
1089,1650000.0,1362333.3333333333
1092,1570000.0,1046096.9538461538
1095,1785000.0,1742500.0
1097,1875000.0,1172869.3181818181
1099,1266000.0,1447000.0
1101,2730000.0,2730000.0
1104,3295888.0,3295888.0
1105,375000.0,383329.0268456376
1106,756000.0,769382.5757575758
1108,2100000.0,2100000.0
1111,2375000.0,2375000.0
1113,1385000.0,1242222.2222222222
1118,858000.0,862883.3333333334
1121,2800000.0,2617500.0
1122,3700000.0,3866666.6666666665
1124,2475000.0,1767425.9259259258
1125,2700000.0,2209522.727272727
1127,3900000.0,4062500.0
1128,610000.0,526830.3938053098
1131,1532000.0,1046096.9538461538
1138,1037000.0,639414.6776859504
1139,3050000.0,3050000.0
1140,1630000.0,1466666.6666666667
1143,2640000.0,1422702.380952381
1145,671000.0,383329.0268456376
1146,2250000.0,1815000.0
1147,2900000.0,2900000.0
1153,2405000.0,2405000.0
1154,1352500.0,963414.0
1156,3105000.0,2752500.0
1160,1500000.0,724920.0
1161,1940000.0,1251916.6666666667
1162,1850000.0,1773288.4615384615
1163,930000.0,1049492.4528301887
1164,1310000.0,1779352.9411764706
1166,2504000.0,2079500.0
1170,1445000.0,1046096.9538461538
1173,1825000.0,1995333.3333333333
1174,1700000.0,2082066.6666666667
1175,1400000.0,1400000.0
1178,1500000.0,1018370.0
1181,1400000.0,979202.8301886793
1183,1600000.0,1773288.4615384615
1184,1780000.0,1780000.0
1185,1200000.0,1340000.0
1186,775000.0,651350.3397683398
1187,1480000.0,1709200.0
1189,1590000.0,1670400.0
1190,2840000.0,2840000.0
1193,1000000.0,1046096.9538461538
1195,1700000.0,1580043.4782608696
1198,3207000.0,3429000.0
1199,880000.0,1172869.3181818181
1200,1920000.0,2041666.6666666667
1201,1301000.0,1262966.6666666667
1203,2550000.0,2086117.6470588236
1204,1915000.0,1915000.0
1205,1650000.0,1580043.4782608696
1206,1530000.0,1767425.9259259258
1208,2050000.0,1773288.4615384615
1209,2550000.0,2727500.0
1210,905000.0,639414.6776859504
1211,1355000.0,1385000.0
1212,1845000.0,1448333.3333333333
1214,2050000.0,2050000.0
1217,1710000.0,1544387.0967741935
1220,1300000.0,1018370.0
1222,2200000.0,1312750.0
1225,2150000.0,1494366.6666666667
1232,681000.0,383329.0268456376
1234,1310000.0,856044.4444444445
1235,340000.0,383329.0268456376
1240,692000.0,526830.3938053098
1241,1367000.0,1292200.0
1242,903000.0,651350.3397683398
1243,2820000.0,3050000.0
1244,1813000.0,1046096.9538461538
1245,1655000.0,2079500.0
1246,1230000.0,1172869.3181818181
1247,1389000.0,1239000.0
1250,2310000.0,2209522.727272727
1253,1014000.0,651350.3397683398
1255,1026000.0,1046096.9538461538
1256,1802500.0,2564375.0
1257,1500000.0,1468750.0
1258,2230000.0,1773288.4615384615
1260,410000.0,526830.3938053098
1261,272500.0,383329.0268456376
1262,680000.0,961850.0
1263,400000.0,526830.3938053098
1264,950000.0,1304593.373493976
1267,845500.0,1046096.9538461538
1269,605000.0,526830.3938053098
1271,445000.0,526830.3938053098
1272,659500.0,651350.3397683398
1273,600000.0,526830.3938053098
1277,1115000.0,890833.3333333334
1278,1125000.0,1304593.373493976
1279,855000.0,1049492.4528301887
1281,940000.0,1062500.0
1283,750000.0,666440.1149425288
1284,1056000.0,1046096.9538461538
1286,880000.0,977451.6129032258
1287,1222500.0,1304593.373493976
1291,955000.0,917126.5258215963
1296,587000.0,651350.3397683398
1297,1060000.0,1049492.4528301887
1299,890000.0,1046096.9538461538
1302,685000.0,782046.6666666666
1305,976000.0,683070.3703703703
1306,641000.0,1390000.0
1307,770000.0,1046096.9538461538
1308,279500.0,383329.0268456376
1309,1800000.0,1817647.0588235294
1310,1350000.0,969000.0
1311,1320000.0,1302803.3846153845
1312,825000.0,1304593.373493976
1316,1261000.0,1304593.373493976
1317,1045000.0,1304593.373493976
1318,1044000.0,773139.3939393939
1319,1050000.0,1304593.373493976
1320,1691500.0,1544387.0967741935
1321,1075000.0,1046096.9538461538
1323,501000.0,536048.8505747126
1324,1260000.0,717969.4968553459
1325,1650000.0,1242222.2222222222
1326,601000.0,526830.3938053098
1328,1015000.0,1046096.9538461538
1329,625000.0,653109.0909090909
1330,1700000.0,1234066.6666666667
1332,435000.0,526830.3938053098
1335,2500000.0,2214600.0
1336,860000.0,1046096.9538461538
1337,491000.0,552799.1733333333
1341,985000.0,1049492.4528301887
1342,1250000.0,1401000.0
1344,641000.0,1390000.0
1346,860000.0,1304593.373493976
1350,705000.0,1046096.9538461538
1352,880000.0,1049492.4528301887
1354,754000.0,782046.6666666666
1356,590000.0,526830.3938053098
1357,575000.0,526830.3938053098
1359,1510000.0,1049492.4528301887
1360,801000.0,782046.6666666666
1361,820000.0,900111.1111111111
1362,370000.0,383329.0268456376
1363,1170000.0,1304593.373493976
1364,1790000.0,1156687.5
1365,640000.0,977451.6129032258
1367,1875000.0,1816666.6666666667
1368,1053000.0,1049492.4528301887
1369,705000.0,649775.0
1372,1217000.0,1217000.0
1373,1020000.0,1049492.4528301887
1375,1340000.0,1304593.373493976
1376,1410000.0,1302803.3846153845
1377,1550000.0,1304593.373493976
1378,740000.0,900111.1111111111
1380,592500.0,639414.6776859504
1382,370000.0,383329.0268456376
1383,765000.0,1046096.9538461538
1384,772000.0,653109.0909090909
1385,1210000.0,1488727.2727272727
1386,1755000.0,1752500.0
1389,945000.0,1046096.9538461538
1390,755000.0,1046096.9538461538
1391,521500.0,526830.3938053098
1393,1190000.0,1049492.4528301887
1395,471000.0,651350.3397683398
1399,265000.0,383329.0268456376
1400,955000.0,1049492.4528301887
1401,1350000.0,1183735.294117647
1402,380000.0,526830.3938053098
1403,300000.0,383329.0268456376
1404,810000.0,800939.3939393939
1406,793000.0,1049492.4528301887
1407,400000.0,526830.3938053098
1408,400500.0,526830.3938053098
1409,797500.0,917126.5258215963
1413,1300000.0,1304593.373493976
1414,1330000.0,1049492.4528301887
1417,1205000.0,1075000.0
1418,380000.0,526830.3938053098
1419,1095000.0,1049492.4528301887
1420,680000.0,526830.3938053098
1421,711000.0,1046096.9538461538
1424,500000.0,526830.3938053098
1426,385000.0,526830.3938053098
1428,370000.0,552799.1733333333
1429,320000.0,383329.0268456376
1432,330000.0,383329.0268456376
1433,1200000.0,1463800.0
1434,537000.0,651350.3397683398
1435,910000.0,1049757.5757575757
1436,285000.0,383329.0268456376
1437,921500.0,1156687.5
1440,1315000.0,1046096.9538461538
1441,370000.0,526830.3938053098
1442,735000.0,639414.6776859504
1443,1000000.0,1156687.5
1444,252000.0,383329.0268456376
1445,1700000.0,1767425.9259259258
1446,820000.0,1046096.9538461538
1447,370000.0,526830.3938053098
1448,484000.0,526830.3938053098
1449,815000.0,773139.3939393939
1452,1150000.0,1156687.5
1454,497000.0,526830.3938053098
1456,440000.0,526830.3938053098
1457,816000.0,964590.9090909091
1459,970000.0,1312750.0
1460,851000.0,773139.3939393939
1461,1300000.0,1304954.5454545454
1463,1235000.0,832279.7234042553
1465,1303000.0,1043030.612244898
1467,880000.0,979780.487804878
1469,975000.0,917126.5258215963
1471,990000.0,973937.5
1474,1225000.0,1076285.7142857143
1475,1490000.0,1167500.0
1479,905000.0,826000.0
1481,1085000.0,1133187.5
1483,787000.0,773139.3939393939
1485,1075000.0,717969.4968553459
1488,1302000.0,1183735.294117647
1489,1050000.0,1309019.7368421052
1490,1000000.0,1076285.7142857143
1491,1300000.0,1850000.0
1496,990000.0,612932.2033898305
1498,1100000.0,1043030.612244898
1502,903000.0,651350.3397683398
1506,1590000.0,1580043.4782608696
1509,1890000.0,1133187.5
1510,1022500.0,1018370.0
1513,1755000.0,1196233.3333333333
1515,1300000.0,979202.8301886793
1516,1160000.0,985714.2857142857
1517,2000000.0,2415000.0
1518,790000.0,773139.3939393939
1519,1682000.0,1422702.380952381
1520,625000.0,977451.6129032258
1525,650000.0,651350.3397683398
1526,1060000.0,1075000.0
1527,1255000.0,1299000.0
1529,633000.0,651350.3397683398
1533,1350000.0,1448333.3333333333
1535,570000.0,800939.3939393939
1537,745000.0,773139.3939393939
1538,2150000.0,2241200.0
1539,746000.0,773139.3939393939
1540,1540000.0,1309019.7368421052
1545,1270000.0,1299000.0
1546,900000.0,1321089.0
1547,1250000.0,1183735.294117647
1548,1410000.0,1076285.7142857143
1553,800000.0,942907.9210526316
1554,702000.0,963414.0
1555,2650000.0,2360848.484848485
1559,729000.0,651350.3397683398
1560,2600000.0,2250000.0
1561,1650000.0,1172869.3181818181
1564,615000.0,552799.1733333333
1565,1987000.0,1309019.7368421052
1566,683000.0,651350.3397683398
1567,1690000.0,1309019.7368421052
1568,430000.0,526830.3938053098
1572,2600000.0,2700500.0
1573,2325000.0,2467600.0
1574,435000.0,552799.1733333333
1579,2000000.0,1690000.0
1580,1302000.0,1242222.2222222222
1582,1622000.0,1242222.2222222222
1583,502000.0,526830.3938053098
1584,435000.0,552799.1733333333
1587,591000.0,773139.3939393939
1588,2608000.0,2243875.0
1589,1780000.0,1690000.0
1590,2250000.0,917126.5258215963
1591,895000.0,1046096.9538461538
1592,1800000.0,1709200.0
1595,900000.0,651350.3397683398
1596,2700000.0,2415000.0
1597,530000.0,526830.3938053098
1599,2228000.0,1422702.380952381
1603,1602500.0,1049492.4528301887
1609,2177000.0,1789833.3333333333
1611,3400000.0,3400000.0
1614,2105000.0,1269277.7777777778
1615,1625000.0,1172869.3181818181
1617,3300000.0,3300000.0
1618,667000.0,526830.3938053098
1623,2015000.0,1918750.0
1624,700000.0,651350.3397683398
1626,3225000.0,3225000.0
1628,3320000.0,3514400.0
1629,2125000.0,2107500.0
1630,2030000.0,1251916.6666666667
1631,2750000.0,2564375.0
1632,2000000.0,1746000.0
1634,2250000.0,2241200.0
1635,2740000.0,2051000.0
1636,2950000.0,2209522.727272727
1637,1587500.0,1242222.2222222222
1640,830000.0,651350.3397683398
1641,2375000.0,2360848.484848485
